"order","trial_type","card_type","guess_type","card","guess","sid","age","feedback","judgment","correction","response","critical","dv_type","age_category"
6,"X.XorY","X","XorY","CAT","cat or dog","2017-06-01-14-49",1343,"D","0","0","Yes",1,2,"Children"
7,"XY.X","XY","X","CAT-ELE","elephant","2017-06-01-14-49",1343,"D","0","0","Yes",0,2,"Children"
8,"XY.XandY","XY","XandY","CAT-DOG","cat and dog","2017-06-01-14-49",1343,"J","Y","0","Yes",1,2,"Children"
9,"XY.X","XY","X","CAT-ELE","cat","2017-06-01-14-49",1343,"D","0","0","Yes",0,2,"Children"
10,"XY.XorY","XY","XorY","DOG-ELE","dog or elephant","2017-06-01-14-49",1343,"C","0","I","Yes",1,2,"Children"
11,"X.Z","X","Z","CAT","elephant","2017-06-01-14-49",1343,"D","N","0","Yes",0,2,"Children"
12,"XY.Z","XY","Z","CAT-DOG","elephant","2017-06-01-14-49",1343,"D","N","0",NA,0,2,"Children"
13,"X.XandY","X","XandY","ELE","cat and elephant","2017-06-01-14-49",1343,"D","N","0","Yes",1,2,"Children"
14,"XY.XorY","XY","XorY","CAT-DOG","cat or dog","2017-06-01-14-49",1343,"C","0","I","Yes",1,2,"Children"
15,"X.X","X","X","ELE","elephant","2017-06-01-14-49",1343,"J","Y","0","Yes",0,2,"Children"
16,"XY.XandY","XY","XandY","CAT-ELE","cat and elephant","2017-06-01-14-49",1343,"J","Y","0","Yes",1,2,"Children"
1,"X.X","X","X","CAT","cat","2017-06-01-15-26",1877,"J","Y","0","Yes",0,2,"Children"
2,"X.Z","X","Z","CAT","elephant","2017-06-01-15-26",1877,"D","N","0","No",0,2,"Children"
3,"XY.XandY","XY","XandY","CAT-ELE","cat and elephant","2017-06-01-15-26",1877,"J","Y","0","Yes",1,2,"Children"
4,"XY.X","XY","X","CAT-DOG","dog","2017-06-01-15-26",1877,"D","N","0","No",0,2,"Children"
5,"XY.XorY","XY","XorY","CAT-DOG","cat or dog","2017-06-01-15-26",1877,"J","Y","0","Yes",1,2,"Children"
6,"X.XorY","X","XorY","ELE","cat or elephant","2017-06-01-15-26",1877,"D","N","0","No",1,2,"Children"
7,"XY.XandY","XY","XandY","DOG-ELE","dog and elephant","2017-06-01-15-26",1877,"J","Y","0","Yes",1,2,"Children"
8,"X.XandY","X","XandY","CAT","cat and elephant","2017-06-01-15-26",1877,"J","N","0","No",1,2,"Children"
9,"X.X","X","X","ELE","elephant","2017-06-01-15-26",1877,"J","Y","0","Yes",0,2,"Children"
10,"XY.XorY","XY","XorY","DOG-ELE","dog or elephant","2017-06-01-15-26",1877,"J","Y","0","Yes",1,2,"Children"
11,"XY.X","XY","X","CAT-ELE","elephant","2017-06-01-15-26",1877,"D","N","0","No",0,2,"Children"
12,"X.XorY","X","XorY","CAT","cat or dog","2017-06-01-15-26",1877,"C","N","E","No",1,2,"Children"
13,"X.XandY","X","XandY","DOG","cat and dog","2017-06-01-15-26",1877,"D","N","0","No",1,2,"Children"
