"order","trial_type","card_type","guess_type","card","guess","sid","age","feedback","judgment","correction","response","critical","dv_type","age_category"
10,"XY.XandY","XY","XandY","DOG-ELE","dog and elephant","2017-06-06-14-13",1987,"J","Y","0","Yes",1,2,"Children"
11,"X.Z","X","Z","ELE","dog","2017-06-06-14-13",1987,"D","N","0","No",0,2,"Children"
12,"X.X","X","X","DOG","dog","2017-06-06-14-13",1987,"J","Y","0","Yes",0,2,"Children"
13,"X.XandY","X","XandY","CAT","cat and elephant","2017-06-06-14-13",1987,"C","YN","E",NA,1,2,"Children"
14,"XY.XorY","XY","XorY","CAT-ELE","cat or elephant","2017-06-06-14-13",1987,"C","0","I","Yes",1,2,"Children"
15,"XY.XandY","XY","XandY","CAT-DOG","cat and dog","2017-06-06-14-13",1987,"D","Y","0","Yes",1,2,"Children"
16,"XY.Z","XY","Z","CAT-ELE","dog","2017-06-06-14-13",1987,"D","N","0","No",0,2,"Children"
1,"X.Z","X","Z","DOG","cat","2017-06-06-14-31",1800,"D","N","0","No",0,2,"Children"
2,"X.X","X","X","DOG","dog","2017-06-06-14-31",1800,"J","Y","0","Yes",0,2,"Children"
3,"XY.X","XY","X","CAT-ELE","elephant","2017-06-06-14-31",1800,"D","0","0",NA,0,2,"Children"
4,"XY.XandY","XY","XandY","CAT-DOG","cat and dog","2017-06-06-14-31",1800,"J","Y","0","Yes",1,2,"Children"
5,"X.XandY","X","XandY","CAT","cat and dog","2017-06-06-14-31",1800,"C","N","E","No",1,2,"Children"
6,"X.XandY","X","XandY","ELE","dog and elephant","2017-06-06-14-31",1800,"C","N","E","No",1,2,"Children"
7,"XY.XandY","XY","XandY","CAT-ELE","cat and elephant","2017-06-06-14-31",1800,"J","Y","0","Yes",1,2,"Children"
8,"XY.X","XY","X","CAT-DOG","cat","2017-06-06-14-31",1800,"J","YN","0",NA,0,2,"Children"
9,"X.Z","X","Z","DOG","elephant","2017-06-06-14-31",1800,"D","N","0","No",0,2,"Children"
10,"X.XorY","X","XorY","DOG","cat or dog","2017-06-06-14-31",1800,"D","0","0","Yes",1,2,"Children"
11,"X.X","X","X","CAT","cat","2017-06-06-14-31",1800,"J","Y","0","Yes",0,2,"Children"
12,"X.XorY","X","XorY","DOG","dog or elephant","2017-06-06-14-31",1800,"D","0","0","Yes",1,2,"Children"
13,"XY.Z","XY","Z","CAT-DOG","elephant","2017-06-06-14-31",1800,"C","N","I","No",0,2,"Children"
14,"XY.Z","XY","Z","DOG-ELE","cat","2017-06-06-14-31",1800,"D","N","0","No",0,2,"Children"
15,"XY.XorY","XY","XorY","DOG-ELE","dog or elephant","2017-06-06-14-31",1800,"C","0","I","Yes",1,2,"Children"
16,"XY.XorY","XY","XorY","CAT-DOG","cat or dog","2017-06-06-14-31",1800,"C","0","I","Yes",1,2,"Children"
1,"X.X","X","X","DOG","dog","2017-06-06-15-28",2052,"J","Y","0","Yes",0,2,"Children"
2,"X.Z","X","Z","CAT","dog","2017-06-06-15-28",2052,"D","N","0","No",0,2,"Children"
3,"XY.X","XY","X","CAT-ELE","elephant","2017-06-06-15-28",2052,"C","0","I","No",0,2,"Children"
4,"X.XorY","X","XorY","ELE","cat or elephant","2017-06-06-15-28",2052,"D","0","0","Yes",1,2,"Children"
5,"X.XandY","X","XandY","ELE","dog and elephant","2017-06-06-15-28",2052,"C","N","E","No",1,2,"Children"
6,"X.XandY","X","XandY","DOG","cat and dog","2017-06-06-15-28",2052,"C","N","E","No",1,2,"Children"
7,"X.XorY","X","XorY","CAT","cat or elephant","2017-06-06-15-28",2052,"D","0","0","Yes",1,2,"Children"
8,"XY.X","XY","X","CAT-DOG","cat","2017-06-06-15-28",2052,"C","0","I","No",0,2,"Children"
9,"XY.Z","XY","Z","CAT-DOG","elephant","2017-06-06-15-28",2052,"J","N","0","No",0,2,"Children"
10,"X.Z","X","Z","DOG","cat","2017-06-06-15-28",2052,"D","N","0","No",0,2,"Children"
11,"XY.XandY","XY","XandY","CAT-ELE","cat and elephant","2017-06-06-15-28",2052,"J","Y","0","Yes",1,2,"Children"
12,"XY.XorY","XY","XorY","DOG-ELE","dog or elephant","2017-06-06-15-28",2052,"C","0","I","Yes",1,2,"Children"
13,"XY.Z","XY","Z","CAT-ELE","dog","2017-06-06-15-28",2052,"J","N","0","No",0,2,"Children"
14,"X.X","X","X","ELE","elephant","2017-06-06-15-28",2052,"J","Y","0","Yes",0,2,"Children"
15,"XY.XandY","XY","XandY","DOG-ELE","dog and elephant","2017-06-06-15-28",2052,"J","Y","0","Yes",1,2,"Children"
16,"XY.XorY","XY","XorY","CAT-DOG","cat or dog","2017-06-06-15-28",2052,"C","0","I","Yes",1,2,"Children"
1,"X.Z","X","Z","DOG","elephant","2017-06-07-8-59",1836,"J","N","0","No",0,2,"Children"
2,"X.X","X","X","DOG","dog","2017-06-07-8-59",1836,"J","Y","0","Yes",0,2,"Children"
3,"X.XandY","X","XandY","CAT","cat and dog","2017-06-07-8-59",1836,"C","N","E","No",1,2,"Children"
4,"X.XorY","X","XorY","CAT","cat or dog","2017-06-07-8-59",1836,"C","0","E","No",1,2,"Children"
5,"X.XandY","X","XandY","ELE","cat and elephant","2017-06-07-8-59",1836,"C","N","E","No",1,2,"Children"
6,"XY.Z","XY","Z","DOG-ELE","cat","2017-06-07-8-59",1836,"D","N","0","No",0,2,"Children"
7,"XY.Z","XY","Z","CAT-DOG","elephant","2017-06-07-8-59",1836,"D","N","0","No",0,2,"Children"
8,"XY.X","XY","X","CAT-ELE","elephant","2017-06-07-8-59",1836,"C","Y","I","No",0,2,"Children"
9,"XY.X","XY","X","DOG-ELE","elephant","2017-06-07-8-59",1836,"C","Y","I","No",0,2,"Children"
10,"X.XorY","X","XorY","ELE","dog or elephant","2017-06-07-8-59",1836,"D","0","0","Yes",1,2,"Children"
11,"X.Z","X","Z","CAT","elephant","2017-06-07-8-59",1836,"D","N","0","No",0,2,"Children"
12,"XY.XorY","XY","XorY","DOG-ELE","dog or elephant","2017-06-07-8-59",1836,"C","0","I","Yes",1,2,"Children"
13,"XY.XandY","XY","XandY","CAT-ELE","cat and elephant","2017-06-07-8-59",1836,"J","Y","0","Yes",1,2,"Children"
14,"X.X","X","X","CAT","cat","2017-06-07-8-59",1836,"J","Y","0","Yes",0,2,"Children"
15,"XY.XandY","XY","XandY","CAT-DOG","cat and dog","2017-06-07-8-59",1836,"J","Y","0","Yes",1,2,"Children"
16,"XY.XorY","XY","XorY","CAT-DOG","cat or dog","2017-06-07-8-59",1836,"C","0","I","Yes",1,2,"Children"
1,"X.Z","X","Z","CAT","dog","2017-06-07-9-16",1755,"J","N","0","No",0,2,"Children"
2,"X.X","X","X","DOG","dog","2017-06-07-9-16",1755,"J","Y","0","Yes",0,2,"Children"
3,"X.XorY","X","XorY","CAT","cat or dog","2017-06-07-9-16",1755,"D","0","0","Yes",1,2,"Children"
4,"XY.X","XY","X","CAT-ELE","cat","2017-06-07-9-16",1755,"J","Y","0","Yes",0,2,"Children"
5,"X.Z","X","Z","ELE","dog","2017-06-07-9-16",1755,"J","N","0","No",0,2,"Children"
6,"XY.X","XY","X","DOG-ELE","elephant","2017-06-07-9-16",1755,"J","Y","0","Yes",0,2,"Children"
7,"XY.XandY","XY","XandY","CAT-ELE","cat and elephant","2017-06-07-9-16",1755,"J","Y","0","Yes",1,2,"Children"
8,"X.XorY","X","XorY","DOG","cat or dog","2017-06-07-9-16",1755,"D","0","0","Yes",1,2,"Children"
9,"X.XandY","X","XandY","DOG","dog and elephant","2017-06-07-9-16",1755,"J","N","0","No",1,2,"Children"
10,"XY.XandY","XY","XandY","CAT-DOG","cat and dog","2017-06-07-9-16",1755,"J","Y","0","Yes",1,2,"Children"
11,"XY.XorY","XY","XorY","CAT-DOG","cat or dog","2017-06-07-9-16",1755,"D","0","0","Yes",1,2,"Children"
12,"XY.Z","XY","Z","DOG-ELE","cat","2017-06-07-9-16",1755,"J","N","0","No",0,2,"Children"
13,"X.X","X","X","ELE","elephant","2017-06-07-9-16",1755,"J","Y","0","Yes",0,2,"Children"
14,"X.XandY","X","XandY","ELE","cat and elephant","2017-06-07-9-16",1755,"J","N","0","No",1,2,"Children"
15,"XY.XorY","XY","XorY","CAT-ELE","cat or elephant","2017-06-07-9-16",1755,"J","Y","0","Yes",1,2,"Children"
16,"XY.Z","XY","Z","CAT-DOG","elephant","2017-06-07-9-16",1755,"J","N","0","No",0,2,"Children"
1,"X.Z","X","Z","ELE","dog","2017-06-07-9-31",1778,"J","N","0","No",0,2,"Children"
2,"X.X","X","X","CAT","cat","2017-06-07-9-31",1778,"J","Y","0","Yes",0,2,"Children"
3,"X.XorY","X","XorY","ELE","cat or elephant","2017-06-07-9-31",1778,"D","0","0","Yes",1,2,"Children"
4,"XY.XorY","XY","XorY","CAT-DOG","cat or dog","2017-06-07-9-31",1778,"D","Y","0","Yes",1,2,"Children"
5,"XY.X","XY","X","CAT-DOG","dog","2017-06-07-9-31",1778,"D","N","0","No",0,2,"Children"
6,"X.XandY","X","XandY","DOG","cat and dog","2017-06-07-9-31",1778,"C","Y","E","Yes",1,2,"Children"
7,"X.XorY","X","XorY","DOG","cat or dog","2017-06-07-9-31",1778,"C","0","E","Yes",1,2,"Children"
8,"XY.XandY","XY","XandY","CAT-ELE","cat and elephant","2017-06-07-9-31",1778,"0","0","0","Yes",1,2,"Children"
9,"X.Z","X","Z","CAT","elephant","2017-06-07-9-31",1778,"D","N","0","Yes",0,2,"Children"
10,"XY.X","XY","X","CAT-ELE","elephant","2017-06-07-9-31",1778,"0","0","0","Yes",0,2,"Children"
11,"X.X","X","X","ELE","elephant","2017-06-07-9-31",1778,"0","0","0","Yes",0,2,"Children"
12,"XY.XandY","XY","XandY","DOG-ELE","dog and elephant","2017-06-07-9-31",1778,"0","0","0","Yes",1,2,"Children"
13,"XY.Z","XY","Z","DOG-ELE","cat","2017-06-07-9-31",1778,"D","0","0","No",0,2,"Children"
14,"X.XandY","X","XandY","DOG","dog and elephant","2017-06-07-9-31",1778,"D","N","0","Yes",1,2,"Children"
15,"XY.Z","XY","Z","CAT-ELE","dog","2017-06-07-9-31",1778,"J","N","0","No",0,2,"Children"
16,"XY.XorY","XY","XorY","DOG-ELE","dog or elephant","2017-06-07-9-31",1778,"D","0","0","Yes",1,2,"Children"
1,"X.X","X","X","ELE","elephant","2017-06-07-10-12",1436,"0","0","0","Yes",0,2,"Children"
2,"X.Z","X","Z","CAT","dog","2017-06-07-10-12",1436,"J","N","0","No",0,2,"Children"
3,"XY.X","XY","X","CAT-ELE","elephant","2017-06-07-10-12",1436,"J","Y","0","Yes",0,2,"Children"
4,"XY.XandY","XY","XandY","CAT-DOG","cat and dog","2017-06-07-10-12",1436,"J","Y","0","Yes",1,2,"Children"
5,"X.XandY","X","XandY","CAT","cat and elephant","2017-06-07-10-12",1436,"C","0","E","No",1,2,"Children"
6,"XY.XorY","XY","XorY","CAT-DOG","cat or dog","2017-06-07-10-12",1436,"J","Y","0","Yes",1,2,"Children"
7,"XY.Z","XY","Z","DOG-ELE","cat","2017-06-07-10-12",1436,"J","N","0","No",0,2,"Children"
8,"XY.XandY","XY","XandY","DOG-ELE","dog and elephant","2017-06-07-10-12",1436,"J","Y","0","Yes",1,2,"Children"
9,"XY.X","XY","X","DOG-ELE","dog","2017-06-07-10-12",1436,"J","Y","0","Yes",0,2,"Children"
10,"X.Z","X","Z","DOG","elephant","2017-06-07-10-12",1436,"D","N","0","No",0,2,"Children"
11,"X.XorY","X","XorY","CAT","cat or dog","2017-06-07-10-12",1436,"D","0","0","Yes",1,2,"Children"
12,"X.XorY","X","XorY","DOG","dog or elephant","2017-06-07-10-12",1436,"D","0","0","No",1,2,"Children"
13,"XY.XorY","XY","XorY","CAT-ELE","cat or elephant","2017-06-07-10-12",1436,"D","0","0","Yes",1,2,"Children"
14,"XY.Z","XY","Z","CAT-DOG","elephant","2017-06-07-10-12",1436,"J","N","0","No",0,2,"Children"
15,"X.XandY","X","XandY","DOG","dog and elephant","2017-06-07-10-12",1436,"D","Y","0","No",1,2,"Children"
16,"X.X","X","X","CAT","cat","2017-06-07-10-12",1436,"J","Y","0","Yes",0,2,"Children"
1,"X.Z","X","Z","DOG","cat","2017-06-07-10-58",1586,"J","N","0","No",0,2,"Children"
2,"X.X","X","X","CAT","cat","2017-06-07-10-58",1586,"J","Y","0","Yes",0,2,"Children"
3,"XY.X","XY","X","CAT-ELE","cat","2017-06-07-10-58",1586,"J","Y","0","Yes",0,2,"Children"
4,"XY.XandY","XY","XandY","CAT-ELE","cat and elephant","2017-06-07-10-58",1586,"J","Y","0","Yes",1,2,"Children"
5,"X.XandY","X","XandY","DOG","cat and dog","2017-06-07-10-58",1586,"D","N","0","No",1,2,"Children"
6,"XY.Z","XY","Z","CAT-DOG","elephant","2017-06-07-10-58",1586,"J","N","0","No",0,2,"Children"
7,"X.XandY","X","XandY","ELE","cat and elephant","2017-06-07-10-58",1586,"J","N","0","No",1,2,"Children"
8,"X.XorY","X","XorY","DOG","dog or elephant","2017-06-07-10-58",1586,"D","0","0","Yes",1,2,"Children"
9,"XY.Z","XY","Z","CAT-ELE","dog","2017-06-07-10-58",1586,"J","N","0","No",0,2,"Children"
10,"XY.X","XY","X","CAT-ELE","elephant","2017-06-07-10-58",1586,"J","Y","0","Yes",0,2,"Children"
11,"X.XorY","X","XorY","ELE","cat or elephant","2017-06-07-10-58",1586,"D","0","0","Yes",1,2,"Children"
12,"XY.XorY","XY","XorY","CAT-ELE","cat or elephant","2017-06-07-10-58",1586,"C","0","I","Yes",1,2,"Children"
13,"X.Z","X","Z","CAT","elephant","2017-06-07-10-58",1586,"J","N","0","No",0,2,"Children"
14,"X.X","X","X","ELE","elephant","2017-06-07-10-58",1586,"J","Y","0","Yes",0,2,"Children"
15,"XY.XandY","XY","XandY","CAT-DOG","cat and dog","2017-06-07-10-58",1586,"J","Y","0","Yes",1,2,"Children"
16,"XY.XorY","XY","XorY","DOG-ELE","dog or elephant","2017-06-07-10-58",1586,"C","0","I","Yes",1,2,"Children"
1,"X.Z","X","Z","ELE","dog","2017-05-31-14-11",1614,"J","N","0","No",0,2,"Children"
2,"X.X","X","X","CAT","cat","2017-05-31-14-11",1614,"J","Y","0","Yes",0,2,"Children"
3,"X.XandY","X","XandY","ELE","cat and elephant","2017-05-31-14-11",1614,"D","N","0","No",1,2,"Children"
4,"XY.X","XY","X","DOG-ELE","dog","2017-05-31-14-11",1614,"J","N","0","No",0,2,"Children"
5,"XY.X","XY","X","CAT-ELE","elephant","2017-05-31-14-11",1614,"D","0","0","No",0,2,"Children"
6,"X.Z","X","Z","DOG","cat","2017-05-31-14-11",1614,"D","N","0","No",0,2,"Children"
7,"XY.XandY","XY","XandY","DOG-ELE","dog and elephant","2017-05-31-14-11",1614,"J","Y","0","Yes",1,2,"Children"
8,"X.XorY","X","XorY","DOG","dog or elephant","2017-05-31-14-11",1614,"D","0","0","No",1,2,"Children"
9,"X.XandY","X","XandY","CAT","cat and dog","2017-05-31-14-11",1614,"D","0","0","No",1,2,"Children"
10,"X.X","X","X","ELE","elephant","2017-05-31-14-11",1614,"J","Y","0","Yes",0,2,"Children"
11,"X.XorY","X","XorY","CAT","cat or dog","2017-05-31-14-11",1614,"D","0","0","No",1,2,"Children"
12,"XY.XorY","XY","XorY","CAT-ELE","cat or elephant","2017-05-31-14-11",1614,"C","0","I","Yes",1,2,"Children"
13,"XY.XandY","XY","XandY","CAT-ELE","cat and elephant","2017-05-31-14-11",1614,"J","Y","0","Yes",1,2,"Children"
14,"XY.Z","XY","Z","CAT-ELE","dog","2017-05-31-14-11",1614,"D","0","0","No",0,2,"Children"
15,"XY.XorY","XY","XorY","DOG-ELE","dog or elephant","2017-05-31-14-11",1614,"C","0","I","Yes",1,2,"Children"
16,"XY.Z","XY","Z","DOG-ELE","cat","2017-05-31-14-11",1614,"D","0","0","No",0,2,"Children"
1,"X.X","X","X","DOG","dog","2017-06-07-11-15",1719,"J","Y","0","Yes",0,2,"Children"
2,"X.Z","X","Z","CAT","dog","2017-06-07-11-15",1719,"J","N","0","No",0,2,"Children"
3,"X.XorY","X","XorY","DOG","dog or elephant","2017-06-07-11-15",1719,"D","0","0","Yes",1,2,"Children"
4,"XY.X","XY","X","DOG-ELE","elephant","2017-06-07-11-15",1719,"C","0","I","Yes",0,2,"Children"
5,"XY.Z","XY","Z","CAT-ELE","dog","2017-06-07-11-15",1719,"D","0","0","No",0,2,"Children"
6,"XY.XorY","XY","XorY","CAT-DOG","cat or dog","2017-06-07-11-15",1719,"C","0","I","Yes",1,2,"Children"
7,"X.XorY","X","XorY","ELE","dog or elephant","2017-06-07-11-15",1719,"D","0","0","Yes",1,2,"Children"
8,"X.Z","X","Z","DOG","cat","2017-06-07-11-15",1719,"D","0","0","No",0,2,"Children"
9,"XY.Z","XY","Z","DOG-ELE","cat","2017-06-07-11-15",1719,"C","0","I","No",0,2,"Children"
10,"XY.X","XY","X","DOG-ELE","dog","2017-06-07-11-15",1719,"C","0","I","Yes",0,2,"Children"
11,"X.XandY","X","XandY","DOG","dog and elephant","2017-06-07-11-15",1719,"C","N","E","No",1,2,"Children"
12,"X.XandY","X","XandY","ELE","cat and elephant","2017-06-07-11-15",1719,"D","N","0","No",1,2,"Children"
13,"XY.XandY","XY","XandY","DOG-ELE","dog and elephant","2017-06-07-11-15",1719,"J","Y","0","Yes",1,2,"Children"
14,"XY.XandY","XY","XandY","CAT-ELE","cat and elephant","2017-06-07-11-15",1719,"J","Y","0","Yes",1,2,"Children"
15,"X.X","X","X","CAT","cat","2017-06-07-11-15",1719,"J","Y","0","Yes",0,2,"Children"
16,"XY.XorY","XY","XorY","CAT-ELE","cat or elephant","2017-06-07-11-15",1719,"C","0","I","Yes",1,2,"Children"
1,"X.X","X","X","CAT","cat","2017-06-07-13-48",1778,"J","Y","0","Yes",0,2,"Children"
2,"X.Z","X","Z","DOG","cat","2017-06-07-13-48",1778,"J","N","0","No",0,2,"Children"
3,"XY.X","XY","X","DOG-ELE","dog","2017-06-07-13-48",1778,"J","Y","0","Yes",0,2,"Children"
4,"X.XandY","X","XandY","ELE","cat and elephant","2017-06-07-13-48",1778,"J","N","0","No",1,2,"Children"
5,"XY.XandY","XY","XandY","CAT-ELE","cat and elephant","2017-06-07-13-48",1778,"J","Y","0","Yes",1,2,"Children"
6,"X.XorY","X","XorY","CAT","cat or dog","2017-06-07-13-48",1778,"D","0","0","Yes",1,2,"Children"
7,"XY.Z","XY","Z","CAT-ELE","dog","2017-06-07-13-48",1778,"J","N","0","No",0,2,"Children"
8,"X.X","X","X","DOG","dog","2017-06-07-13-48",1778,"J","Y","0","Yes",0,2,"Children"
9,"XY.XandY","XY","XandY","DOG-ELE","dog and elephant","2017-06-07-13-48",1778,"J","Y","0","Yes",1,2,"Children"
10,"X.Z","X","Z","CAT","elephant","2017-06-07-13-48",1778,"J","N","0","No",0,2,"Children"
11,"XY.XorY","XY","XorY","DOG-ELE","dog or elephant","2017-06-07-13-48",1778,"C","0","I","Yes",1,2,"Children"
12,"X.XorY","X","XorY","DOG","cat or dog","2017-06-07-13-48",1778,"D","0","0","Yes",1,2,"Children"
13,"XY.X","XY","X","CAT-DOG","dog","2017-06-07-13-48",1778,"C","N","I","No",0,2,"Children"
14,"X.XandY","X","XandY","CAT","cat and dog","2017-06-07-13-48",1778,"C","0","E","No",1,2,"Children"
15,"XY.Z","XY","Z","CAT-DOG","elephant","2017-06-07-13-48",1778,"J","N","0","No",0,2,"Children"
16,"XY.XorY","XY","XorY","CAT-ELE","cat or elephant","2017-06-07-13-48",1778,"C","0","I","Yes",1,2,"Children"
1,"X.X","X","X","CAT","cat","2017-06-07-14-3",1787,"J","Y","0","Yes",0,2,"Children"
2,"X.Z","X","Z","CAT","elephant","2017-06-07-14-3",1787,"D","N","0","No",0,2,"Children"
3,"X.XandY","X","XandY","ELE","cat and elephant","2017-06-07-14-3",1787,"D","0","0","No",1,2,"Children"
4,"XY.Z","XY","Z","CAT-ELE","dog","2017-06-07-14-3",1787,"D","N","0","No",0,2,"Children"
5,"X.XandY","X","XandY","CAT","cat and dog","2017-06-07-14-3",1787,"C","N","E","No",1,2,"Children"
6,"XY.XandY","XY","XandY","DOG-ELE","dog and elephant","2017-06-07-14-3",1787,"J","Y","0","Yes",1,2,"Children"
7,"XY.XandY","XY","XandY","CAT-ELE","cat and elephant","2017-06-07-14-3",1787,"J","Y","0","Yes",1,2,"Children"
8,"X.XorY","X","XorY","ELE","dog or elephant","2017-06-07-14-3",1787,"C","0","E","No",1,2,"Children"
9,"XY.XorY","XY","XorY","CAT-ELE","cat or elephant","2017-06-07-14-3",1787,"C","0","I","Yes",1,2,"Children"
10,"XY.X","XY","X","DOG-ELE","elephant","2017-06-07-14-3",1787,"D","0","0","No",0,2,"Children"
11,"X.XorY","X","XorY","CAT","cat or elephant","2017-06-07-14-3",1787,"C","N","E","No",1,2,"Children"
12,"X.Z","X","Z","CAT","dog","2017-06-07-14-3",1787,"C","0","E","No",0,2,"Children"
13,"XY.X","XY","X","CAT-ELE","cat","2017-06-07-14-3",1787,"C","N","I","No",0,2,"Children"
14,"XY.XorY","XY","XorY","CAT-DOG","cat or dog","2017-06-07-14-3",1787,"C","0","I","No",1,2,"Children"
15,"X.X","X","X","ELE","elephant","2017-06-07-14-3",1787,"J","Y","0","Yes",0,2,"Children"
16,"XY.Z","XY","Z","CAT-DOG","elephant","2017-06-07-14-3",1787,"D","N","0","No",0,2,"Children"
1,"X.Z","X","Z","CAT","dog","2017-06-07-14-21",1625,"J","N","0","No",0,2,"Children"
2,"X.X","X","X","ELE","elephant","2017-06-07-14-21",1625,"J","Y","0","Yes",0,2,"Children"
3,"XY.Z","XY","Z","DOG-ELE","cat","2017-06-07-14-21",1625,"D","N","0","No",0,2,"Children"
4,"XY.XandY","XY","XandY","CAT-ELE","cat and elephant","2017-06-07-14-21",1625,"J","Y","0","Yes",1,2,"Children"
5,"XY.XandY","XY","XandY","CAT-DOG","cat and dog","2017-06-07-14-21",1625,"J","Y","0","Yes",1,2,"Children"
6,"X.Z","X","Z","ELE","cat","2017-06-07-14-21",1625,"D","N","0","No",0,2,"Children"
7,"X.XandY","X","XandY","DOG","cat and dog","2017-06-07-14-21",1625,"D","N","0","No",1,2,"Children"
8,"XY.X","XY","X","CAT-ELE","cat","2017-06-07-14-21",1625,"C","0","I","No",0,2,"Children"
9,"XY.X","XY","X","CAT-DOG","dog","2017-06-07-14-21",1625,"C","N","I","No",0,2,"Children"
10,"X.XorY","X","XorY","DOG","dog or elephant","2017-06-07-14-21",1625,"D","0","0","No",1,2,"Children"
11,"XY.XorY","XY","XorY","DOG-ELE","dog or elephant","2017-06-07-14-21",1625,"C","0","I","No",1,2,"Children"
12,"XY.XorY","XY","XorY","CAT-DOG","cat or dog","2017-06-07-14-21",1625,"D","0","0","No",1,2,"Children"
13,"XY.Z","XY","Z","CAT-DOG","elephant","2017-06-07-14-21",1625,"J","N","0","No",0,2,"Children"
14,"X.XorY","X","XorY","CAT","cat or elephant","2017-06-07-14-21",1625,"D","0","0","Yes",1,2,"Children"
15,"X.XandY","X","XandY","CAT","cat and elephant","2017-06-07-14-21",1625,"C","0","E","No",1,2,"Children"
16,"X.X","X","X","DOG","dog","2017-06-07-14-21",1625,"J","Y","0","Yes",0,2,"Children"
1,"X.Z","X","Z","ELE","cat","2017-06-07-15-37",1800,"J","N","0","No",0,2,"Children"
2,"X.X","X","X","CAT","cat","2017-06-07-15-37",1800,"J","Y","0","Yes",0,2,"Children"
3,"X.XandY","X","XandY","ELE","cat and elephant","2017-06-07-15-37",1800,"J","N","0","No",1,2,"Children"
4,"XY.XandY","XY","XandY","DOG-ELE","dog and elephant","2017-06-07-15-37",1800,"J","Y","0","Yes",1,2,"Children"
5,"X.XandY","X","XandY","ELE","dog and elephant","2017-06-07-15-37",1800,"J","N","0","No",1,2,"Children"
6,"X.XorY","X","XorY","CAT","cat or elephant","2017-06-07-15-37",1800,"D","0","0","No",1,2,"Children"
7,"X.XorY","X","XorY","DOG","dog or elephant","2017-06-07-15-37",1800,"J","N","0","No",1,2,"Children"
8,"X.Z","X","Z","DOG","cat","2017-06-07-15-37",1800,"J","N","0","No",0,2,"Children"
9,"XY.X","XY","X","CAT-ELE","cat","2017-06-07-15-37",1800,"J","N","0","No",0,2,"Children"
10,"XY.XorY","XY","XorY","DOG-ELE","dog or elephant","2017-06-07-15-37",1800,"J","Y","0","Yes",1,2,"Children"
11,"XY.X","XY","X","CAT-ELE","elephant","2017-06-07-15-37",1800,"J","N","0","No",0,2,"Children"
12,"XY.XorY","XY","XorY","CAT-ELE","cat or elephant","2017-06-07-15-37",1800,"J","Y","0","Yes",1,2,"Children"
13,"XY.XandY","XY","XandY","CAT-ELE","cat and elephant","2017-06-07-15-37",1800,"J","Y","0","Yes",1,2,"Children"
14,"XY.Z","XY","Z","CAT-ELE","dog","2017-06-07-15-37",1800,"J","N","0","No",0,2,"Children"
15,"X.X","X","X","ELE","elephant","2017-06-07-15-37",1800,"J","Y","0","Yes",0,2,"Children"
16,"XY.Z","XY","Z","DOG-ELE","cat","2017-06-07-15-37",1800,"J","N","0","No",0,2,"Children"
1,"X.Z","X","Z","ELE","dog","2017-06-08-9-39",1895,"J","N","0","No",0,2,"Children"
2,"X.X","X","X","DOG","dog","2017-06-08-9-39",1895,"J","Y","0","Yes",0,2,"Children"
3,"XY.XandY","XY","XandY","CAT-DOG","cat and dog","2017-06-08-9-39",1895,"J","Y","0","Yes",1,2,"Children"
4,"X.XorY","X","XorY","CAT","cat or dog","2017-06-08-9-39",1895,"D","0","0","Yes",1,2,"Children"
5,"X.XandY","X","XandY","DOG","dog and elephant","2017-06-08-9-39",1895,"J","N","0","No",1,2,"Children"
6,"XY.X","XY","X","DOG-ELE","elephant","2017-06-08-9-39",1895,"J","N","0","No",0,2,"Children"
7,"XY.Z","XY","Z","DOG-ELE","cat","2017-06-08-9-39",1895,"J","N","0","No",0,2,"Children"
8,"X.XandY","X","XandY","ELE","cat and elephant","2017-06-08-9-39",1895,"J","N","0","No",1,2,"Children"
9,"XY.X","XY","X","CAT-ELE","cat","2017-06-08-9-39",1895,"J","N","0","No",0,2,"Children"
10,"XY.Z","XY","Z","CAT-DOG","elephant","2017-06-08-9-39",1895,"J","N","0","No",0,2,"Children"
11,"X.Z","X","Z","DOG","cat","2017-06-08-9-39",1895,"J","N","0","No",0,2,"Children"
12,"XY.XorY","XY","XorY","CAT-ELE","cat or elephant","2017-06-08-9-39",1895,"C","0","I","Yes",1,2,"Children"
13,"X.XorY","X","XorY","ELE","cat or elephant","2017-06-08-9-39",1895,"D","0","0","Yes",1,2,"Children"
14,"X.X","X","X","CAT","cat","2017-06-08-9-39",1895,"J","Y","0","Yes",0,2,"Children"
15,"XY.XorY","XY","XorY","DOG-ELE","dog or elephant","2017-06-08-9-39",1895,"D","0","0","Yes",1,2,"Children"
16,"XY.XandY","XY","XandY","CAT-ELE","cat and elephant","2017-06-08-9-39",1895,"J","Y","0","Yes",1,2,"Children"
1,"X.Z","X","Z","CAT","dog","2017-06-08-9-55",1871,"D","N","0","No",0,2,"Children"
2,"X.X","X","X","ELE","elephant","2017-06-08-9-55",1871,"J","Y","0","Yes",0,2,"Children"
3,"X.XandY","X","XandY","DOG","dog and elephant","2017-06-08-9-55",1871,"C","N","E","No",1,2,"Children"
4,"X.XorY","X","XorY","DOG","cat or dog","2017-06-08-9-55",1871,"D","0","0","No",1,2,"Children"
5,"XY.XandY","XY","XandY","CAT-ELE","cat and elephant","2017-06-08-9-55",1871,"J","Y","0","Yes",1,2,"Children"
